Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24,Unit_25,Unit_26,Unit_27
1,NaN,NaN,0.25,NaN,NaN,-18,-0.309016994374947,0.951056516295154,NaN,1,NaN,-0.745037503412509,-0.611812423583843,-0.579318501674412,-0.293371988871422,-0.667052090829875,-0.699546012739306,-0.155272820756341,-0.719042365884964,-0.137401163706154,-0.450967510132161,-0.743412807317037,-0.618311207965729,-0.73528932683968,-0.593940766533656,-0.728790542457793,-0.702795404930249,-0.652429825970631,-0.616686511870257,-0.564696236815168,-0.597190158724599,0.153419437383251,-0.0642898394099352,-0.494834304709892,-0.556572756337811,-0.343737567831039,-0.489960216423478,-0.69304722835742
2,NaN,NaN,0.25,NaN,NaN,-9,-0.156434465040231,0.987688340595138,NaN,1,NaN,-0.71922288767335,-0.660011741082832,-0.590691374342713,-0.392839494271957,-0.632572429248201,-0.703336970295406,-0.343737567831039,-0.707669493216664,-0.324963301838924,-0.479489952697106,-0.732220456437122,-0.634016603555287,-0.743773850893809,-0.623907383405687,-0.739441327972551,-0.726443759208779,-0.681674355689119,-0.660011741082832,-0.623907383405687,-0.649902520933231,-0.0346842661146761,0.0404127978537859,-0.563252062508082,-0.651346695240317,-0.499708392996307,-0.564696236815168,-0.690339401531634
3,NaN,NaN,0.25,NaN,NaN,-3.6,-0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.727887933515865,-0.634016603555287,-0.537256924980538,-0.436164723484531,-0.683118529996205,-0.619574860484429,-0.358179310901898,-0.717778713366264,-0.404392888728643,-0.508373438838822,-0.742329676586723,-0.668676786925347,-0.74666219950798,-0.622463209098601,-0.729332107822951,-0.707669493216664,-0.675897658460776,-0.639793300783631,-0.660011741082832,-0.678786007074947,-0.118446375925653,0.0360802749325285,-0.596468071571056,-0.634016603555287,-0.504040915917564,-0.515594310374251,-0.700448621681235
4,NaN,NaN,0.25,NaN,NaN,-1.8,-0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.71840661523891,-0.625163187150979,-0.537570875916861,-0.418897421986766,-0.635052641645153,-0.584192589960827,-0.375101266369707,-0.715581056812003,-0.458455239963464,-0.50083861636707,-0.732534407373445,-0.657657109060409,-0.743836641081073,-0.647767654566235,-0.733947186586899,-0.719819394452364,-0.647767654566235,-0.649180433779688,-0.60962261580299,-0.635052641645153,-0.0699409562637493,-0.221108332103275,-0.568652018612838,-0.591256486028094,-0.510728070861244,-0.560175343332117,-0.695802147823654
5,NaN,NaN,0.25,NaN,NaN,-0.45,-0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.729061325140372,-0.597731724089756,-0.528682140032216,-0.372982097549527,-0.597731724089756,-0.58554650337372,-0.393290798742921,-0.724999584901693,-0.481295170580963,-0.527328226619323,-0.733123065379051,-0.649180433779688,-0.743954372682195,-0.627517819173401,-0.731769151966158,-0.716876104424335,-0.676258702037547,-0.678966528863333,-0.65459608743126,-0.665427394734404,-0.043981138216541,0.0954719433114325,-0.596377810676863,-0.639703039889438,-0.515143005903286,-0.59502389726397,-0.711460450772764
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.720315776338172,-0.639520078617425,-0.553455096262717,-0.384837987975941,-0.59385294512309,-0.535890814149511,-0.425235836836314,-0.722072204549492,-0.462120829274047,-0.497249393500458,-0.727341489183454,-0.65357150430799,-0.743149343085339,-0.650058647885349,-0.739636486662698,-0.729097917394775,-0.68518721211176,-0.62371222471554,-0.662353645364593,-0.678161499266478,-0.0827323356288013,-0.0897580484740836,-0.607904370813655,-0.636007222194784,-0.572775806587243,-0.548185811628755,-0.692212924957042
7,NaN,NaN,0.25,NaN,NaN,0.45,0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.68432692074295,-0.661780117785386,-0.492015954340197,-0.454880043586562,-0.582203166170453,-0.61005509923568,-0.320925508368092,-0.713505136335092,-0.383260787133123,-0.568940340901298,-0.738704504346487,-0.68432692074295,-0.742683351927234,-0.645864727462399,-0.728094244131163,-0.73472565676574,-0.690958333377528,-0.67239037800071,-0.651169857570062,-0.68432692074295,-0.11933056427693,0.172451591644489,-0.575571753535876,-0.627296772085582,-0.543740972889903,-0.596792273966524,-0.712178853808176
8,NaN,NaN,0.25,NaN,NaN,1.8,0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.720969331021454,-0.683185700894209,-0.592504988588821,-0.453461229720559,-0.636333999536425,-0.581925572153192,-0.396030111927147,-0.713412604996005,-0.388473385901698,-0.52298310915469,-0.728526057046903,-0.690742426919658,-0.737594128277442,-0.659004177612772,-0.733060092662172,-0.725503366636723,-0.677140320073849,-0.684697046099298,-0.649936106382233,-0.67562897486876,-0.22071406813673,0.145031471495002,-0.601573059819359,-0.686208391304388,-0.529028489975049,-0.500312931078343,-0.692253772124748
9,NaN,NaN,0.25,NaN,NaN,3.6,0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.710686785965396,-0.653822422623893,-0.486710824232535,-0.385747566871089,-0.564464137372958,-0.617847009081309,-0.350932650539556,-0.721131260864856,-0.420562483202622,-0.533130712674579,-0.728094244131163,-0.667748389156506,-0.739699216241674,-0.637575461669177,-0.72461275249801,-0.722291758075907,-0.704884299910141,-0.646859439357586,-0.631772975613922,-0.683995350111221,-0.21747547126868,0.0656858482277876,-0.625970489558666,-0.652661925412842,-0.528488723830374,-0.521525740564067,-0.688637338955426
10,NaN,NaN,0.25,NaN,NaN,9,0.156434465040231,0.987688340595138,NaN,1,NaN,-0.723452255286958,-0.666201059541771,-0.513015427683026,-0.376850421586364,-0.616686511870257,-0.553245997666131,-0.219022800883415,-0.724999584901693,-0.154034957064553,-0.565624634584009,-0.726546914516428,-0.700242311065936,-0.74666219950798,-0.687863674148058,-0.738925551434306,-0.737378221819572,-0.692505662992262,-0.680127026074384,-0.663106400312301,-0.63680179686181,-0.280915985472807,0.0517598816951745,-0.536225371904048,-0.616686511870257,-0.503731449994617,-0.588834578805031,-0.639896456091279
11,NaN,NaN,0.25,NaN,NaN,18,0.309016994374947,0.951056516295154,NaN,1,NaN,-0.677775085059987,-0.62968408063403,-0.540000856164001,-0.394428086009751,-0.588091860589958,-0.630983837510407,-0.191666013294904,-0.667377030048969,0.00849654566718953,-0.593290888095467,-0.72326657573319,-0.710269006969418,-0.744062685755226,-0.701170708834777,-0.742762928878849,-0.731065116991454,-0.654379461285197,-0.664777516296215,-0.611487484364749,-0.602389186230108,-0.280049480888555,0.0981797701372184,-0.443818847312086,-0.612787241241126,-0.443818847312086,-0.623185296252144,-0.602389186230108
12,NaN,NaN,0.5,NaN,NaN,-18,-0.309016994374947,0.951056516295154,NaN,1,NaN,-0.743412807317037,-0.476962647659705,-0.411974803840844,0.159918221765137,-0.58744198215177,-0.652429825970631,0.436116557995298,-0.691422532261948,0.471859872095672,-0.155272820756341,-0.740163415126094,-0.489960216423478,-0.723916454171379,-0.441219333559332,-0.710918885407607,-0.658928610352517,-0.558197452433282,-0.486710824232535,-0.382730274122356,-0.447718117941218,1.05350107427448,0.61808252068811,-0.243006409911804,-0.366483313167641,0.0591870638459015,-0.233258233338975,-0.639432257206859
