Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12
1,NaN,NaN,0.25,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.793523844442812,-0.936897008594872,-0.942519485620443,-0.990310540337796,-0.984688063312225,-0.422440360755128,-0.652961918803538,-0.546134855317689,-0.90035090792866,-0.683885542444178,-0.248143572962427,-0.273444719577497
2,NaN,NaN,0.25,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.882901841297578,-0.958514463365602,-0.948432780423198,-1.03916792690483,-0.998841195135214,-0.754360383781938,-0.746799121575136,-0.595573877439089,-0.867779316883974,-0.719074493483527,-0.666145658035911,-0.557767566405077
3,NaN,NaN,0.25,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.892479440092861,-0.947298591092178,-0.95460781122542,-1.04231845282433,-1.0021177420915,-0.903443270292725,-0.779186528027606,-0.680512056228835,-0.925370930692451,-0.830351068960302,-0.771877307894364,-0.633002125362761
4,NaN,NaN,0.25,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.909091304032048,-0.962249268637446,-0.968229539655554,-1.04995991023635,-1.00145326753393,-0.887828118189889,-0.828025408008816,-0.756262155791528,-0.894472863765564,-0.815400391415034,-0.802775374821251,-0.491801281879671
5,NaN,NaN,0.25,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.856204051283437,-0.967195912566004,-0.975317268269607,-1.02404540249122,-0.988852861108944,-0.904932185505052,-0.720848122890061,-0.753333545704471,-0.880568118394244,-0.728969478593664,-0.791233205654616,-0.474500333214118
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.937109981209477,-0.969226251491905,-0.978085912259471,-1.03733489364257,-1.02016930090541,-0.906654897320967,-0.753272020282474,-0.616501007183168,-0.885059474200024,-0.739982529131125,-0.782619646575038,-0.597120499254117
7,NaN,NaN,0.25,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.927247622348284,-0.974658779969315,-0.992437964077201,-1.02799633229297,-1.02997179719385,-0.899591113736016,-0.765259500476428,-0.771185895179057,-0.895640183934263,-0.759333105773799,-0.80674426339483,-0.559811150785294
8,NaN,NaN,0.25,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.811568073036505,-0.946703654569705,-0.954352838430075,-1.04699295407233,-1.00279766954575,-0.907607825950037,-0.695980405813139,-0.721477685347705,-0.906757916632218,-0.706179317626965,-0.893159367547116,-0.386613414127071
9,NaN,NaN,0.25,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.891325352703402,-0.956723638106096,-0.950953201158799,-1.05482106621014,-0.997116696737172,-0.902866226597995,-0.681666143618295,-0.691283538530456,-0.868243604914216,-0.656660916846676,-0.841314899160165,-0.51817043011156
10,NaN,NaN,0.25,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.90505809799658,-0.967951387515177,-0.969651206150814,-1.05294231929706,-1.02404540249122,-0.894859186182754,-0.692580768541863,-0.714678410805154,-0.881260637097652,-0.677282400821124,-0.927155740259871,-0.595691106310512
