Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17
1,NaN,NaN,0.25,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.37936996363089,-0.732945901277978,-0.219321733194795,-0.354872785502917,-0.897893567339668,-0.857064937126379,-0.919124455050579,-0.875029534420226,-0.530435895420062,-0.58514625990587,-0.441429481555091,-0.260966936012351,-0.721513884818257,-0.955870222242539,-0.98689998120464,-0.892994131714074,-0.365488229358372
2,NaN,NaN,0.25,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.701517351044027,-0.888664397905408,-0.527188595063563,-0.628880369385501,-0.948483088683019,-0.942501219605258,-0.982665197698796,-0.928828375998947,-0.735699460059805,-0.764754252723216,-0.674171663831406,-0.535734122317507,-0.852773183438842,-1.0279564921447,-1.02966559759549,-0.935664797802102,-0.557097940452368
3,NaN,NaN,0.25,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.696571303451593,-0.837986831735805,-0.570744888521546,-0.678755173903976,-0.969380787149483,-0.925953971377166,-0.980515868116743,-0.937089052344426,-0.737771103030458,-0.800127556447118,-0.682095698194154,-0.536226137523038,-0.868051550347409,-1.03285074866287,-1.04064530533995,-0.940429576634605,-0.542907186103394
4,NaN,NaN,0.25,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.770018297511645,-0.860853834010172,-0.617155905993089,-0.710637137729437,-0.983143747225017,-0.961390253047376,-1.00783690277801,-0.917589298554559,-0.820286507030247,-0.817640811792426,-0.693587101752367,-0.565417865786809,-0.726511309156364,-1.01606795462901,-1.02812056626798,-0.951395404371163,-0.608336921867018
5,NaN,NaN,0.25,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.779898826023261,-0.878908254290489,-0.630874325744754,-0.749277353363294,-0.972814103781055,-0.956482651695739,-1.00853915521768,-0.944234062631752,-0.8064374356619,-0.820727456236551,-0.728863038256649,-0.6196464524361,-0.901364000907798,-1.01262201823901,-1.01874631277101,-1.00649772370702,-0.547175633807511
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.826307369032367,-0.946343541859439,-0.694566988877486,-0.770236050206116,-0.999148570268626,-0.970024147383147,-0.993976943774943,-0.931645234982654,-0.818686024725886,-0.833656522470759,-0.714436922247954,-0.600388948518832,-0.893810704318339,-1.02691203881366,-1.03426119225206,-0.939810961025312,-0.549217065318175
7,NaN,NaN,0.25,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.793708509771874,-0.951499157125587,-0.673744387468708,-0.78398168904459,-0.961225977852871,-0.991487197893309,-1.00121401862059,-0.922318694943736,-0.790466236196113,-0.822888971953725,-0.724540006822301,-0.621868010256529,-0.878007622741666,-1.00986008148929,-1.01418311292364,-0.947176125691239,-0.509469192963473
8,NaN,NaN,0.25,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.852490746521127,-0.999162410482258,-0.741319230525111,-0.820416051429839,-1.0166010796581,-0.97518424036547,-0.994179933574874,-0.930030543392298,-0.846574055193608,-0.835052077345281,-0.76156054296136,-0.65568290867944,-0.880205774318453,-1.01566686523797,-1.02033793733864,-0.962728048097009,-0.525204294667308
9,NaN,NaN,0.25,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.87482539126916,-1.01568416550501,-0.752339500629291,-0.844203918609193,-1.01874631277101,-0.985062692845042,-0.98914555586637,-0.935047620833762,-0.84318320285386,-0.835017476811202,-0.737028764299307,-0.700282997107347,-0.803375288395903,-1.024870607303,-1.027932754569,-0.959544798961736,-0.515533445392211
10,NaN,NaN,0.25,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.837166352085586,-0.970611506624811,-0.778179725803755,-0.822661443983496,-1.01412623093108,-0.979314451486065,-1.00929126156372,-0.931931751685905,-0.888417027379636,-0.81685948074266,-0.829430401097805,-0.736598989244431,-0.809123529754879,-1.00252230444941,-1.01412623093108,-0.919360831330761,-0.536431257435593
