Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8
1,NaN,NaN,0.25,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.798457256517691,-0.14648017332462,-0.873455927525521,-0.939079764657372,-0.706413433008081,-0.883683019026589,-0.199320146080137,-0.496758057236191
2,NaN,NaN,0.25,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.827039067115187,-0.511080142691955,-0.89576013317724,-0.94078427990755,-0.760687692986308,-0.921036847131098,-0.525298294291001,-0.573482030265543
3,NaN,NaN,0.25,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.833358245603652,-0.52134880773571,-0.893390441244066,-0.944733766462841,-0.738570568276682,-0.927356025619563,-0.516609423869362,-0.572692132954485
4,NaN,NaN,0.25,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.786713647771979,-0.518578359078543,-0.901492696750875,-0.946261288468784,-0.744564494931182,-0.919352507276636,-0.504052379850924,-0.49857537128969
5,NaN,NaN,0.25,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.819337568332371,-0.509464443646609,-0.872332497019722,-0.936368035850271,-0.770758883702299,-0.90398224609689,-0.538906070695137,-0.654464456860611
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.774878128890229,-0.547988210033207,-0.899118351569867,-0.947412950324909,-0.731886466469074,-0.920519487488768,-0.517496326113357,-0.552912365200388
7,NaN,NaN,0.25,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.815867662287366,-0.518997922881371,-0.896832136670819,-0.932302287353093,-0.76883115812174,-0.92459138503086,-0.557552434492539,-0.613842021444844
8,NaN,NaN,0.25,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.809129004170979,-0.585713990799827,-0.905817014159334,-0.940549600271656,-0.77345769951508,-0.928346259205165,-0.583836553712674,-0.626078888173606
9,NaN,NaN,0.25,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.776298558265377,-0.547041257116441,-0.896466883402923,-0.945897825658084,-0.763514693889042,-0.926295900281038,-0.54022319611573,-0.610108321373026
10,NaN,NaN,0.25,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.815096572055142,-0.576829690298123,-0.897603226903042,-0.93153119712087,-0.755722624173943,-0.91996484363752,-0.562178975885879,-0.639287999108215
11,NaN,NaN,0.25,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.769286802349872,-0.618398463726164,-0.920911181649794,-0.934159913821632,-0.779591371816857,-0.925327425707073,-0.539642111371351,-0.530073582580579
12,NaN,NaN,0.5,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.62374444337445,0.680209723011691,-0.77374178539011,-0.904989459653813,-0.43965679635523,-0.794195968392246,0.574529777500657,-0.0203460448114513
13,NaN,NaN,0.5,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.680908064569442,-0.0489902157229786,-0.818350196693548,-0.908398490154169,-0.548205316311685,-0.868903624601265,-0.0774265189210694,-0.173793990870155
14,NaN,NaN,0.5,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.693546421546371,-0.0695275458104886,-0.8136108128272,-0.91629746326475,-0.503971066892432,-0.881541981578194,-0.0600487780777917,-0.172214196248039
15,NaN,NaN,0.5,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.600257225883027,-0.0639866484961547,-0.829815323840818,-0.919352507276636,-0.515958920201432,-0.865534944892341,-0.0349346900409157,-0.0239806729184485
16,NaN,NaN,0.5,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.66550506700381,-0.0457588176322864,-0.771494924378512,-0.899566002039611,-0.568347697743666,-0.834794422532848,-0.104642071729343,-0.335758844060291
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.576586188119526,-0.122806350405482,-0.825066633478802,-0.921655830988887,-0.490602863277216,-0.867868905316604,-0.0618225825657817,-0.132654660739844
