Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.642006045781787,-0.624653260204904,-0.681049813329772,-0.907503665108089,-0.878871568906233,-0.878871568906233,-0.76260790554112,-0.908371304386933,-0.87193045467548,-0.87193045467548,-0.845033637031312,-0.229009749051983,-0.618579785252995,-0.811195705156391,-0.7582697091469,-0.765210823377653,-0.831151408569806,-0.825077933617897
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.660722264511139,-0.641758148844974,-0.612960788018576,-0.903041520245462,-0.877756032690576,-0.888291652505112,-0.737983476484401,-0.897422523011043,-0.883375029924995,-0.891101151122322,-0.83772067739534,-0.0032995880841042,-0.664234137782651,-0.63473440230195,-0.686710126720327,-0.730257355287075,-0.782233079705452,-0.779423581088242
3,NaN,NaN,0.25,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.633896955598744,-0.69403103177094,-0.695165636981737,-0.890885035844075,-0.840962406569044,-0.851741156071607,-0.56695524816177,-0.897125364503454,-0.851173853466209,-0.858548787336384,-0.813731881509936,-0.0858826387841965,-0.584541628929111,-0.63786807383653,-0.564686037740178,-0.612906759199015,-0.686656097900765,-0.722396162040844
4,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.663605697302485,-0.70164482989602,-0.691552815126307,-0.894169419349011,-0.818867462990381,-0.840604110186687,-0.579764343831021,-0.894169419349011,-0.819643771818821,-0.873985389809585,-0.789367727509681,-0.0930187083994671,-0.495146681531118,-0.588303740943856,-0.56734340257599,-0.655066300189651,-0.64109274127774,-0.694658050440064
5,NaN,NaN,0.25,NaN,NaN,-1,-0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.603829917512645,-0.717403899113341,-0.766078462656497,-0.892927325223508,-0.754278568464217,-0.844252761680352,-0.56990522170984,-0.885552391353333,-0.884077404579298,-0.869327536838948,-0.813278039425617,-0.0344850227351302,-0.60825487783475,-0.630379679445276,-0.577280155580015,-0.642179573637556,-0.729203793305621,-0.717403899113341
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.685876056818343,-0.72367259290299,-0.649923254201239,-0.882233671111754,-0.802953132007372,-0.862874469702544,-0.500580843330194,-0.876702470709123,-0.835218467689388,-0.833374734221844,-0.805718732208688,-0.0396474764442528,-0.637017119928433,-0.527314978609579,-0.507955777200369,-0.584470716103436,-0.652688854402555,-0.696016590889834
7,NaN,NaN,0.25,NaN,NaN,1,0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.624901157141717,-0.743953661045971,-0.766078462656497,-0.880916718634937,-0.800846008044465,-0.844042049284062,-0.527973454847988,-0.894613024393834,-0.874595346746216,-0.83772067739534,-0.82297080965499,-0.0854774226374835,-0.597508545623924,-0.557473190328688,-0.549044694477059,-0.619633347234449,-0.697596933862014,-0.746060785008879
8,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.672048055811765,-0.696016590889834,-0.763312862455181,-0.872093137040263,-0.80664059894246,-0.859187002767457,-0.539299246148613,-0.881311804377982,-0.856421402566141,-0.827843533819213,-0.826921667085441,-0.142896550626704,-0.548517913486332,-0.456331240109144,-0.536533645947298,-0.604751784246417,-0.660985655006502,-0.734734993708253
9,NaN,NaN,0.25,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.636279626541416,-0.695279097502816,-0.770208425623795,-0.88289741516007,-0.779058346268005,-0.848677722002458,-0.559580314291595,-0.883487409869684,-0.851037700840913,-0.835107843681335,-0.803838124071793,-0.152483964657931,-0.543060462422403,-0.514740716360931,-0.50884076926479,-0.596749980997277,-0.644539552476012,-0.689379150406676
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.674227013546135,-0.685624638618223,-0.780828330396847,-0.868657088305295,-0.732556035973883,-0.833793764555377,-0.461694828378362,-0.827089279218854,-0.835805110156334,-0.798930440805458,-0.780828330396847,-0.183458686912667,-0.495217255060976,-0.533432821479156,-0.455660791575492,-0.548853137753158,-0.644056829531782,-0.672215667945178
