Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.810343027588389,-0.852085431705529,-0.732728244933083,-0.856651007155841,-0.719031518582146,-0.691638065880273,-0.70663924235987,-0.837084255225932,-0.255951722907628,-0.182902515702633,-0.010715098719432,-0.486187170616226,-0.865782158056465
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.778567437735547,-0.803392754246619,-0.730690041607051,-0.850087992446018,-0.698180698556837,-0.582920300469715,-0.687541277194949,-0.842403965906876,-0.248369606534788,-0.323436635032554,-0.161480998746035,-0.500760324397357,-0.862500650701554
3,NaN,NaN,0.25,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.79393549081383,-0.825853754899494,-0.74014730503984,-0.846541518658721,-0.670991066187567,-0.535633983305768,-0.675128618939412,-0.841221807977777,-0.29092729198234,-0.33644037225264,-0.299793476450581,-0.583511379434264,-0.862500650701554
4,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.784341824543068,-0.826414522122272,-0.68661676907091,-0.825202052451402,-0.652788865253624,-0.532269379969102,-0.676795764736859,-0.828718214496926,-0.294382830544321,-0.478920714450803,-0.586466774257011,-0.709653692817448,-0.844722814152416
5,NaN,NaN,0.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.787806935234029,-0.832106748156043,-0.723099343325469,-0.836088753811954,-0.654409745760999,-0.534949576083658,-0.695723054441079,-0.835591003104965,-0.291549480366077,-0.46974423346811,-0.548388845172359,-0.679795031817434,-0.851519025728611
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.797256105159388,-0.831855849425691,-0.692841765795745,-0.843850427438009,-0.673312132365432,-0.561516514224977,-0.693764425642846,-0.834162499043444,-0.224899446674146,-0.517075064922926,-0.701607034343208,-0.741896514333303,-0.852615695985472
7,NaN,NaN,0.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.801882219114993,-0.813966500168002,-0.695750707258134,-0.847066922182765,-0.692598286113871,-0.53865505356902,-0.689971268493651,-0.839711272846151,-0.268597642210476,-0.530774000708362,-0.633753091420958,-0.73883379622973,-0.848117729230853
8,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.790477872034277,-0.820765839890923,-0.712718150475786,-0.82781242833104,-0.685768040301301,-0.539396799720611,-0.701344709484719,-0.836837006508735,-0.291035463296114,-0.528517856163939,-0.627911840477177,-0.727800322224809,-0.848086823141203
9,NaN,NaN,0.25,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.776662849960888,-0.800831412066906,-0.69522530373409,-0.821322149504616,-0.627448249132432,-0.503978420982125,-0.687344250873432,-0.841287483418283,-0.271224659830696,-0.506605438602345,-0.657396250002932,-0.736732182133555,-0.843914501038502
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.782704990487393,-0.827035912828593,-0.670399987223018,-0.822307281112198,-0.574054116001475,-0.553366352242248,-0.685176961336751,-0.822898360076748,-0.264919817542169,-0.499578166468258,-0.666262434471172,-0.736009752287995,-0.839448571084129
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.766830298296639,-0.78628524021552,-0.698738001580555,-0.819250558466957,-0.643615666143725,-0.489597375952582,-0.687389285461207,-0.828437614373096,-0.269108034205262,-0.462036208234167,-0.669015173648931,-0.750077431644269,-0.834922595012723
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.745772746219689,-0.829257554453968,-0.590543180909076,-0.838388705354593,-0.563149728207203,-0.508362822803457,-0.538365175762651,-0.799255201494774,0.363009863141834,0.509108277551823,0.853483111518226,-0.0974610322753629,-0.856651007155841
