Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.846690635245823,-0.762167562362445,-0.835164761670817,-0.956186434208381,-0.969633286712555,-0.875505319183339,-0.888952171687512,-0.929292729200034,-0.952344476350046,-0.863979445608332,-0.954265455279214,-0.892794129545848,-0.814033993449973,-0.902399024191686,-0.802508119874967
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.876705931014068,-0.756284564391869,-0.801187446861164,-0.931814014044566,-0.952224415166973,-0.793023286412201,-0.88078801123855,-0.862418650228384,-0.946101294830251,-0.874664890901828,-0.939978174493529,-0.842008249105977,-0.680766080238964,-0.778736005626516,-0.639945277994151
3,NaN,NaN,0.25,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.858161623708568,-0.705141930722296,-0.705141930722296,-0.906680062948117,-0.942135845469326,-0.81337537210283,-0.824571935004264,-0.858161623708568,-0.949600220736949,-0.809643184469018,-0.917876625849552,-0.832036310271887,-0.669686148201087,-0.804044903018301,-0.714472399806825
4,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.87771828690974,-0.751271769876206,-0.738209113157866,-0.911681194377424,-0.917951269602228,-0.763289414057079,-0.810314978243104,-0.835395279142317,-0.953481695876113,-0.864655630191399,-0.911158688108691,-0.807702446899436,-0.618032671349135,-0.832782747798649,-0.566304550744508
5,NaN,NaN,0.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.869358186610002,-0.76485693286328,-0.730894025395595,-0.932058938858035,-0.918996282139695,-0.835395279142317,-0.811882497049305,-0.874583249297338,-0.942509064232708,-0.835395279142317,-0.945121595576375,-0.838007810485985,-0.743956682113935,-0.832782747798649,-0.686480992553238
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.877866889610022,-0.766414864398495,-0.689117492074371,-0.867081209750842,-0.886854956159339,-0.771208499891464,-0.808359174961973,-0.834724170173302,-0.938985742145375,-0.835323374609923,-0.918612791300257,-0.786787815243613,-0.639383523834819,-0.760422820032284,-0.56987580918677
7,NaN,NaN,0.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.858274720303531,-0.761294390121914,-0.725668962708259,-0.852337149067922,-0.812753340830528,-0.692022725706473,-0.779107103828742,-0.759315199710045,-0.913692051835884,-0.800878198359309,-0.909733671012145,-0.600979966760466,-0.551500206463722,-0.472332589988933,-0.379310640631055
8,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.840218413930627,-0.78445091794079,-0.760837653873021,-0.83217985595011,-0.79299188579509,-0.713108715863701,-0.75631596500898,-0.791987066047525,-0.867850956988655,-0.781436458698096,-0.93617869982305,-0.645785792776871,-0.572936361078434,-0.583989378301645,-0.429247137176692
9,NaN,NaN,0.25,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.839006719529153,-0.773693435937451,-0.679565468408235,-0.798666162016631,-0.710301131274918,-0.691091341983241,-0.694933299841576,-0.75832560450411,-0.819796930237476,-0.623857079462372,-0.936976644916705,-0.591200437666521,-0.474020722987292,-0.416391355112262,-0.276159893283021
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.807310567197886,-0.709340641810334,-0.578714074626931,-0.679949664194068,-0.624433373141122,-0.608105052243197,-0.712606305989919,-0.712606305989919,-0.820373223916226,-0.647293022398217,-0.905280492585438,-0.372977231313072,-0.353383246235562,-0.323992268619296,-0.157443395460458
