Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.929551906731452,-0.758303268348846,-0.677837040675092,-0.690216460317208,-0.636572308534705,-0.832579786201543,-0.828453312987504,-0.924393815213903,-0.749018703617259,-0.59221272148379,-0.514841348720564
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.953557943469879,-0.799707408368086,-0.696852275350595,-0.727103785061622,-0.753897979377102,-0.906019856781123,-0.82563727383468,-0.960472574260971,-0.846381166207956,-0.51620754593332,-0.447925566871288
3,NaN,NaN,0.25,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.957879587714312,-0.801436066065859,-0.71759616772387,-0.700309590746141,-0.776370529448151,-0.894783581745599,-0.880089991314528,-0.954422272318766,-0.814400998799156,-0.481634391977861,-0.438417949533537
4,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.961016264988496,-0.835158831960317,-0.735349761095756,-0.743602707523834,-0.761140218683498,-0.921556864879252,-0.839543209750233,-0.969527115992451,-0.82381103062171,-0.48234537216001,-0.468160620486752
5,NaN,NaN,0.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.96885656409517,-0.820948289829471,-0.745794896418792,-0.745794896418792,-0.764982996864072,-0.92008680879675,-0.815351760532931,-0.95766350550209,-0.853727961423491,-0.453176364628274,-0.442782810220414
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.961582643664933,-0.81328245558295,-0.685675317000778,-0.710757801242974,-0.713893111773249,-0.915807109922926,-0.845576154044777,-0.966599140513372,-0.815477172954142,-0.427012198253133,-0.508216740987242
7,NaN,NaN,0.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.973333787532402,-0.794244850043123,-0.782731989775955,-0.749472615670804,-0.749472615670804,-0.915769486196562,-0.785290403168659,-0.970775374139698,-0.833900257630035,-0.48339762282959,-0.427112528190102
8,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.968142443852061,-0.841153235403526,-0.802031865563635,-0.801100404376971,-0.805757710310291,-0.925295229265514,-0.844568593087961,-0.969384392100946,-0.843637131901297,-0.403055990609191,-0.47602045023121
9,NaN,NaN,0.25,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.96565854735429,-0.743187817553944,-0.743187817553944,-0.698693671593875,-0.719550302512657,-0.91421219108796,-0.837737877719091,-0.969829873538047,-0.757092238166466,-0.410872164914677,-0.401139070485912
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.973949701867683,-0.695603800346648,-0.83300007514001,-0.727583967755447,-0.726399517110677,-0.869718045127891,-0.796282105152128,-0.949076238327505,-0.812864414178913,-0.493062740090916,-0.260910413715925
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.981097248861986,-0.595129711169576,-0.745105668672912,-0.734078024738844,-0.707611679297078,-0.886259511028994,-0.837737877719091,-0.953528139026814,-0.855382108013601,-0.362446424160722,-0.0933719121694415
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.861465098699813,-0.518967821934603,-0.358035366587095,-0.382794205871327,-0.275505902306321,-0.667520857639996,-0.659267911211918,-0.851148915664717,-0.500398692471429,-0.186786728204489,-0.032043982678039
13,NaN,NaN,0.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.909477172176669,-0.601776101973082,-0.3960658359381,-0.456568855360153,-0.510157243991115,-0.814400998799156,-0.653635832906271,-0.923306433758853,-0.695123617652822,-0.0347763771035511,0.101787581020513
14,NaN,NaN,0.5,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.918120460665534,-0.605233417368628,-0.437553620684651,-0.402980466729192,-0.555102344133212,-0.791928448728108,-0.762541267865967,-0.911205829874442,-0.631163282835222,0.0343699308073674,0.120802815696015
15,NaN,NaN,0.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.924393815213903,-0.672678949157544,-0.473060807428423,-0.489566700284577,-0.524641722603906,-0.845475014995414,-0.681447704737376,-0.941415517221813,-0.649983346480331,0.0329479704430702,0.061317473789586
16,NaN,NaN,0.5,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.94007441342725,-0.644257864895852,-0.493951078074494,-0.493951078074494,-0.532327278965053,-0.842534902830411,-0.633064806302773,-0.91768829624109,-0.709817208083892,0.0912859855065419,0.112073094322262
