Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.752806037326344,-0.620286368544124,-0.768377892890682,-0.644756427288083,-0.691471993981096,-0.630773536577249,-0.686387306449884,-0.249104178765625,-0.626324434987438,-0.644756427288083,-0.547511778253647,-0.548782950136451,-0.574206387792512,-0.666684142266436
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.734989346309397,-0.617176054362797,-0.770690343868973,-0.673973095934849,-0.685657058772529,-0.610360409374151,-0.721033501808836,-0.129046051366415,-0.64800873407334,-0.667157450946203,-0.488977017671593,-0.547072277336721,-0.613930509130108,-0.64508774336392
3,NaN,NaN,0.25,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.72198011916837,-0.599629825448574,-0.768060099919981,-0.664777384442231,-0.701005783102119,-0.607574649716093,-0.689883029127592,-0.0698689432903909,-0.637447188961965,-0.671451036826948,-0.500160625619233,-0.579608868294425,-0.601218790302077,-0.637764981932666
4,NaN,NaN,0.25,NaN,NaN,-2.5,-0.043619387365336,0.999048221581858,NaN,1,NaN,-0.721033501808836,-0.636649325758929,-0.768093907682822,-0.654175270015448,-0.704156666598854,-0.582773274896297,-0.712595084203845,-0.043688211746702,-0.633728335049509,-0.656771706201599,-0.480863154589871,-0.586992483698792,-0.65644715167833,-0.648982397643146
5,NaN,NaN,0.25,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.71992668766538,-0.576773177171249,-0.765688875446291,-0.681595966276241,-0.70662827412221,-0.60454339368787,-0.705063754881837,-0.0143285102571487,-0.632704740014584,-0.675729019124843,-0.499720604582878,-0.548611830844535,-0.626446663053092,-0.645612023747662
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.708753060387851,-0.620526860521951,-0.767707950952448,-0.641140458621461,-0.695148085642175,-0.64031591469748,-0.677420391276597,0.00200380208323178,-0.609807789510206,-0.659280424949029,-0.486950744837131,-0.586308287676766,-0.630009115647726,-0.642377274507431
7,NaN,NaN,0.25,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.708315021428237,-0.676853517328861,-0.769807961258836,-0.673516691136502,-0.666366349295735,-0.635858224108461,-0.690677511554344,-0.016638620698012,-0.59390955197596,-0.682097101345423,-0.473307119595018,-0.556251084947919,-0.617267335322466,-0.614883888042211
8,NaN,NaN,0.25,NaN,NaN,2.5,0.043619387365336,0.999048221581858,NaN,1,NaN,-0.710375550044716,-0.585390650083949,-0.769915600813428,-0.66658162840492,-0.71234381618583,-0.580962051266441,-0.698073886662751,-0.0165617353018747,-0.620819440624009,-0.689708755563014,-0.485501143422391,-0.550453926079167,-0.625248039441516,-0.640502102035153
9,NaN,NaN,0.25,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.730416078026972,-0.613468264809089,-0.761848691856285,-0.660617185553058,-0.693898776666447,-0.606996844314819,-0.690663066419312,0.0646441541262257,-0.578799940732641,-0.67217329357854,-0.491435764059993,-0.611157043203992,-0.606534599993799,-0.621788662587436
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.717410771589645,-0.635368651153598,-0.767295678990458,-0.634544107229618,-0.701744437034018,-0.549203811097649,-0.700919893110038,0.274103296996755,-0.580124208246913,-0.689788550136303,-0.470047594395533,-0.526116581226198,-0.592904639068609,-0.630009115647726
