Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24,Unit_25,Unit_26,Unit_27,Unit_28,Unit_29,Unit_30,Unit_31,Unit_32,Unit_33,Unit_34,Unit_35,Unit_36,Unit_37,Unit_38,Unit_39,Unit_40,Unit_41,Unit_42,Unit_43,Unit_44,Unit_45,Unit_46
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.337669360568477,-0.486191819212395,-0.558247269445583,-0.280809277391268,-0.584226445379997,-0.608735101921898,-0.302867068278979,-0.534718959165358,-0.575403329024913,-0.596480773650948,-0.488152511735747,-0.575403329024913,-0.395999963138201,-0.495995281829155,-0.549914326221336,-0.446487795614516,-0.282279796783782,-0.484721299819881,-0.5984414661743,-0.616087698884468,-0.548443806828822,-0.601382504959328,-0.614127006361116,-0.593049561735081,-0.575403329024913,-0.495014935567479,-0.619518910800334,-0.599421812435976,-0.570501597716533,-0.618538564538658,-0.589618349819215,-0.480799914773177,0.447587995034018,-0.000920419682763217,-0.519033418978542,-0.136698376924893,-0.54893397995966,-0.382275115474736,-0.530797574118654,-0.563639173884801,-0.433743294212728,-0.182284478092828,-0.502857705660887,-0.320023127858309,-0.565599866408153,-0.543051902389604
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.434034074883564,-0.548634891269658,-0.565209389507316,-0.362526953915381,-0.56568294659982,-0.606882413647714,-0.285337147837144,-0.560947375674775,-0.575154088449911,-0.607829527832722,-0.504120524574233,-0.573733417172397,-0.373418767042985,-0.516906566071855,-0.540110863604576,-0.463394614618844,-0.441137431271132,-0.486125355059061,-0.580836773559965,-0.613512212942777,-0.566156503692325,-0.607355970740218,-0.613985770035281,-0.578468988097442,-0.542478649067099,-0.461500386248826,-0.606882413647714,-0.589360801225046,-0.486598912151565,-0.615879998405299,-0.572786302987388,-0.464341728803853,0.350176470303921,-0.280601576912099,-0.552423348009694,-0.058976857619984,-0.530166164661981,-0.510276766776791,-0.486125355059061,-0.582731001929983,-0.530166164661981,-0.211462241406439,-0.542478649067099,-0.276813120172063,-0.57089207461737,-0.598358385982632
3,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.450703284539723,-0.587862638786941,-0.584814653137003,-0.42835138977351,-0.568050732062343,-0.604626559861601,-0.247504241210511,-0.568558729670666,-0.597006595736756,-0.61275452159477,-0.496423069288796,-0.584814653137003,-0.344531784400209,-0.515726978405071,-0.504043033413641,-0.476611162564197,-0.390251569149282,-0.451719279756369,-0.588370636395264,-0.613770516811416,-0.523854940138239,-0.600054581386694,-0.615294509636385,-0.595482602911786,-0.514710983188425,-0.383647600241083,-0.572114712928927,-0.563986751195759,-0.492359088422211,-0.618342495286323,-0.51217099514681,-0.472547181697613,0.463692410441732,-0.408539483048911,-0.54569883729613,0.120794024823686,-0.537570875562961,-0.570082722495635,-0.488295107555627,-0.588370636395264,-0.535538885129669,-0.289160045092999,-0.561954760762467,-0.234296303394112,-0.55585878946259,-0.604626559861601
4,NaN,NaN,0.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.452029244398735,-0.582257444837478,-0.600726171445155,-0.461026829156321,-0.534901735587026,-0.581310330652469,-0.222354054534043,-0.574680531357406,-0.604041071092686,-0.616353555497804,-0.507908981314269,-0.578942545189947,-0.350688026602768,-0.506014752944251,-0.52685126501445,-0.485178240874052,-0.459132600786303,-0.421248033385942,-0.579416102282451,-0.61067087038775,-0.556685361842234,-0.601199728537659,-0.607355970740218,-0.59078147250256,-0.484231126689043,-0.352582254972786,-0.560947375674775,-0.550055562547171,-0.48186334122652,-0.601199728537659,-0.529219050476972,-0.484231126689043,0.369118754004102,-0.402779306778265,-0.564262275322307,0.133287321936851,-0.522589251181909,-0.564735832414811,-0.506488310036755,-0.590307915410055,-0.542952206159603,-0.334587085457615,-0.578468988097442,-0.27539244889455,-0.567577174969838,-0.611617984572759
5,NaN,NaN,0.25,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.531893255234645,-0.592155716614142,-0.594894919404119,-0.465056707159203,-0.539015182488585,-0.573529137642297,-0.231676629453152,-0.573529137642297,-0.602016846658059,-0.61626070116594,-0.509431792356832,-0.574624818758288,-0.381784942343898,-0.511075314030819,-0.521484284632732,-0.471082953297153,-0.458482620463258,-0.406437767453692,-0.591607876056146,-0.615165020049949,-0.57078993485232,-0.600921165542068,-0.612425817259972,-0.587772992150178,-0.456839098789272,-0.355488595560118,-0.532988936350636,-0.543945747510544,-0.471082953297153,-0.612973657817968,-0.520388603516741,-0.49299657561697,0.364921738203866,-0.419038100287587,-0.570242094294325,0.149620398911664,-0.528058371328677,-0.572981297084302,-0.503405546218883,-0.591060035498151,-0.539015182488585,-0.352749392770141,-0.56476368871437,-0.263999222374882,-0.56476368871437,-0.614617179491954
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.541663078518897,-0.592368765720029,-0.592368765720029,-0.487335556517684,-0.539593458633136,-0.559772252519301,-0.208971681882897,-0.578916236462585,-0.603751675091711,-0.610995344691873,-0.51424061503257,-0.587194716005627,-0.352292858971811,-0.523553904518492,-0.524071309489932,-0.4707785974316,-0.495614036060726,-0.384889372172539,-0.587194716005627,-0.614617179491954,-0.576329211605385,-0.592886170691469,-0.615134584463394,-0.593403575662909,-0.458360878117037,-0.323835585542605,-0.532867194004415,-0.524071309489932,-0.468708977545839,-0.614099774520514,-0.525623524404253,-0.47284821731736,0.337925372929313,-0.423694745030548,-0.575294401662505,0.171320972125594,-0.539076053661696,-0.578398831491145,-0.505962135489528,-0.590299145834268,-0.547354533204738,-0.380750132401018,-0.577364021548265,-0.294860907141958,-0.568568137033783,-0.616686799377714
7,NaN,NaN,0.25,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.578648613201496,-0.598399209869917,-0.600807819219724,-0.478932186119466,-0.533848479295077,-0.547336691653999,-0.253486350977487,-0.58972821621061,-0.610442256618954,-0.616704640928454,-0.520841988806116,-0.588283050600726,-0.404747018145396,-0.55408079783346,-0.514097882626656,-0.468334304980313,-0.511689273276848,-0.394630858876205,-0.579612056941419,-0.610923978488916,-0.585392719380957,-0.596472322390071,-0.613332587838723,-0.601771262959647,-0.425461058553741,-0.329598406431403,-0.544928082304191,-0.527104373115616,-0.450028873921777,-0.616222919058492,-0.516988213846424,-0.462553642540776,0.289895918339078,-0.466407417500468,-0.579612056941419,0.154050351009937,-0.546373247914076,-0.580575500681342,-0.51891510132627,-0.591173381820495,-0.539147419864653,-0.44135788026247,-0.583465831901111,-0.289133769354638,-0.566123844582497,-0.610442256618954
8,NaN,NaN,0.25,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.587194716005627,-0.59650800549155,-0.605303890006032,-0.485265936631923,-0.536489028804495,-0.542697888461777,-0.26485141879843,-0.574776996691064,-0.613064964577634,-0.618756419263475,-0.520966879661292,-0.582020666291226,-0.415416265487506,-0.538558648690256,-0.510101375261049,-0.462500117888558,-0.511136185203929,-0.383854562229659,-0.586159906062747,-0.613582369549074,-0.579951046405466,-0.606856104920352,-0.613582369549074,-0.59754281543443,-0.435595059373671,-0.310383056285161,-0.491474796289205,-0.504927325546648,-0.454221638345516,-0.612030154634753,-0.508549160346729,-0.510618780232489,0.255657982470334,-0.463017522859998,-0.579433641434026,0.23858361841281,-0.531832384061534,-0.584607691148427,-0.545284913318977,-0.592886170691469,-0.550976368004819,-0.450599803545435,-0.574259591719624,-0.324870395485485,-0.558737442576421,-0.616686799377714
9,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.561954760762467,-0.592434617261848,-0.601578574211663,-0.472547181697613,-0.545190839687806,-0.552810803812652,-0.252076219685418,-0.587354641178618,-0.605134557469924,-0.608690540728185,-0.469499196047675,-0.588878634003587,-0.441559327589908,-0.547222830121099,-0.51725097123004,-0.480675143430782,-0.51725097123004,-0.324719877675611,-0.580242674662096,-0.609198538336508,-0.598022590953402,-0.591418622045202,-0.616818502461354,-0.601578574211663,-0.362819698299839,-0.24394825795225,-0.459847241489537,-0.419715430432018,-0.412603463915496,-0.608690540728185,-0.497947062113765,-0.502011042980349,0.269129326454011,-0.452227277364692,-0.579226679445449,0.339232996402589,-0.55077881337936,-0.587354641178618,-0.52233094731327,-0.580242674662096,-0.541126858821222,-0.318115908767412,-0.574146703362219,-0.289668042701322,-0.546206834904453,-0.615802507244708
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.558379239134654,-0.588468328243019,-0.597065210845408,-0.458440478881874,-0.573961088851486,-0.482619211201095,-0.269309061629299,-0.603512872797201,-0.607811314098395,-0.619094722514032,-0.446619765303588,-0.564289595923797,-0.488529567990238,-0.54548391523107,-0.500350281568524,-0.465962751158965,-0.522379793237147,-0.226324648617351,-0.579871445640629,-0.615870891538136,-0.542797389417823,-0.588468328243019,-0.603512872797201,-0.571811868200888,-0.136057381292258,-0.0635211843345947,-0.466500056321614,-0.161848029099427,-0.399336910990444,-0.601900957309252,-0.464888140833666,-0.470798497622809,0.298085190128424,-0.415993371032574,-0.569662647550291,0.49420157449544,-0.548170441044317,-0.586319107592421,-0.507872553845615,-0.587931023080369,-0.52882745518894,-0.269309061629299,-0.569662647550291,-0.259637568701611,-0.551931577182862,-0.605662093447798
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.555796403791393,-0.583246099118321,-0.599421812435976,-0.429821909166024,-0.576383675286589,-0.416097061502559,-0.313650877157415,-0.607264582529384,-0.602853024351842,-0.602853024351842,-0.364628882764568,-0.569031078324019,-0.513641514539324,-0.525405669679436,-0.491583723651613,-0.446977968745354,-0.54648311430547,-0.0347423657105861,-0.5984414661743,-0.616087698884468,-0.586677311034187,-0.557266923183907,-0.61069579444525,-0.562168654492287,0.161817059755457,0.135347710690204,-0.350904035101104,0.158385847839591,-0.29257343253138,-0.591088869211729,-0.42590052411932,-0.471976798418093,0.356415792698147,-0.414626542110045,-0.572952463370723,0.650519671200954,-0.567070385800667,-0.586187137903349,-0.504818398184239,-0.592559388604244,-0.506779090707591,-0.293063605662218,-0.50726926383843,-0.307768799587359,-0.537659997950386,-0.609225275052736
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.0514082521590785,-0.348453169446914,-0.492564069913289,0.0623119141953403,-0.544522421782118,-0.593539734865919,0.0181963324199192,-0.44550744935284,-0.52687618907195,-0.569031078324019,-0.352374554493618,-0.52687618907195,-0.168069457298525,-0.368060094680434,-0.475898183464797,-0.269045122251156,0.0593708754103122,-0.345512130661886,-0.572952463370723,-0.60824492879106,-0.472957144679769,-0.578834540940779,-0.604323543744356,-0.562168654492287,-0.52687618907195,-0.366099402157082,-0.615107352622792,-0.574913155894075,-0.51707272645519,-0.61314666009944,-0.555306230660555,-0.337669360568477,1.51910645904591,0.62208962961235,-0.414136368979207,0.350533715128091,-0.473937490941445,-0.140619761971597,-0.437664679259432,-0.503347878791725,-0.243556119447579,0.259361512792221,-0.381784942343898,-0.0161157867387416,-0.50726926383843,-0.462173335801332
13,NaN,NaN,0.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.244137680789251,-0.473339313561439,-0.506488310036755,-0.101123438852886,-0.507435424221764,-0.589834358317551,0.0532561733035872,-0.497964282371674,-0.526377707921945,-0.591728586687569,-0.384310580170589,-0.523536365366918,-0.122907065108094,-0.409882663165833,-0.456291258231276,-0.302858760259812,-0.258344393564387,-0.348320241140246,-0.537743078142054,-0.603093956907677,-0.508382538406773,-0.59078147250256,-0.604041071092686,-0.533007507217008,-0.461026829156321,-0.299070303519776,-0.589834358317551,-0.554791133472216,-0.349267355325255,-0.607829527832722,-0.5216421369969,-0.30475298862983,1.32428340958572,0.0627273151536776,-0.480916227041511,0.505976753737908,-0.436401860346086,-0.396623064575707,-0.348320241140246,-0.54153153488209,-0.436401860346086,0.201005986164997,-0.461026829156321,0.0703042286337499,-0.517853680256864,-0.572786302987388
14,NaN,NaN,0.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.277476100101569,-0.551794808596006,-0.54569883729613,-0.232772310569143,-0.51217099514681,-0.585322650745326,0.128921986556855,-0.513186990363456,-0.570082722495635,-0.601578574211663,-0.368915669599715,-0.54569883729613,-0.0651330998225428,-0.407523487832265,-0.384155597849406,-0.329291856150519,-0.156572669320688,-0.279508090534862,-0.552810803812652,-0.603610564644955,-0.423779411298602,-0.576178693795511,-0.606658550294893,-0.567034736845697,-0.405491497398973,-0.143364731504289,-0.520298956879978,-0.504043033413641,-0.360787707866546,-0.61275452159477,-0.400411521315743,-0.32116389441735,1.55131528986134,-0.193148497119946,-0.467467205614383,0.865518518625249,-0.451211282148046,-0.516234976013394,-0.352659746133378,-0.552810803812652,-0.447147301281462,0.0456103787918779,-0.499979052547057,0.155337862189652,-0.487787109947304,-0.585322650745326
15,NaN,NaN,0.5,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.280128019819595,-0.540584420697081,-0.577521873912433,-0.298123189334767,-0.445873002196177,-0.538690192327063,0.179222359909789,-0.525430593736936,-0.584151673207497,-0.608776642017732,-0.391887493650662,-0.533954621402017,-0.0774455842276603,-0.388099036910625,-0.429772061051023,-0.346426012770228,-0.29433473259473,-0.218565597794007,-0.534901735587026,-0.597411271797623,-0.489440254706593,-0.578468988097442,-0.59078147250256,-0.557632476027243,-0.344531784400209,-0.0812340409676965,-0.497964282371674,-0.476180656116466,-0.339796213475164,-0.578468988097442,-0.434507631976068,-0.344531784400209,1.36216797698608,-0.181628144578655,-0.504594081666737,0.890505112851578,-0.421248033385942,-0.505541195851746,-0.389046151095634,-0.556685361842234,-0.46197394334133,-0.045243701937353,-0.533007507217008,0.073145571188777,-0.5112238809618,-0.599305500167641
16,NaN,NaN,0.5,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.439856041491413,-0.560380964250407,-0.565859369830361,-0.30618294534053,-0.454099895999295,-0.523127806306718,0.160577210071572,-0.523127806306718,-0.580103224338242,-0.608590933354004,-0.394933115735789,-0.5253191685387,-0.139639415709921,-0.398220159083761,-0.419038100287587,-0.318235437616429,-0.29303477194864,-0.188945065929509,-0.559285283134416,-0.606399571122023,-0.517649400726764,-0.57791186210626,-0.600921165542068,-0.55161551532248,-0.289747728600667,-0.0870467221423598,-0.442047403723395,-0.463961026043212,-0.318235437616429,-0.602016846658059,-0.416846738055606,-0.362062682256063,1.35377394538561,-0.214145731597298,-0.516553719610773,0.923171266801204,-0.432186273679477,-0.522032125190727,-0.382880623459889,-0.558189602018425,-0.454099895999295,-0.0815683165624056,-0.505596908450864,0.0959320242281121,-0.505596908450864,-0.605303890006032
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.459395688059917,-0.560807062462181,-0.560807062462181,-0.350740644057491,-0.455256448288396,-0.495614036060726,0.205987105212082,-0.533902003947295,-0.583572881205547,-0.59806022040587,-0.404550761087264,-0.550458963033379,-0.0806552489657466,-0.423177340059108,-0.424212150001989,-0.317626725885323,-0.367297603143575,-0.145848275367202,-0.550458963033379,-0.605303890006032,-0.528727954232893,-0.561841872405061,-0.606338699948912,-0.562876682347942,-0.292791287256197,-0.0237407021073329,-0.441803919030953,-0.424212150001989,-0.313487486113802,-0.604269080063151,-0.427316579830629,-0.321765965656844,1.2997812148365,-0.223459021083221,-0.526658334347133,0.966572413229064,-0.454221638345516,-0.532867194004415,-0.38799380200118,-0.55666782269066,-0.4707785974316,-0.13756979582416,-0.530797574118654,0.034208654693961,-0.51320580508969,-0.609443129777553
18,NaN,NaN,0.5,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.533366757425115,-0.572867950761958,-0.577685169461573,-0.333933903261057,-0.443766489612277,-0.470742914330121,0.116957767022902,-0.555525963443344,-0.596954044260033,-0.609478812879031,-0.417753508634357,-0.552635632223575,-0.185563567312916,-0.484231126689043,-0.404265296275435,-0.312738140982751,-0.39944807757582,-0.165331248774534,-0.535293644904961,-0.597917487999956,-0.546854969784037,-0.569014175802266,-0.602734706699571,-0.579612056941419,-0.226991648129605,-0.0352663438849301,-0.465925695630506,-0.430278277253355,-0.276127278865677,-0.608515369139108,-0.410045958714973,-0.301176816103675,1.20372230565603,-0.308884366023059,-0.535293644904961,0.93203117099775,-0.468816026850275,-0.537220532384807,-0.413899733674665,-0.558416294663113,-0.45436437075143,-0.258785291547064,-0.543001194824345,0.0456629302686009,-0.508317220187118,-0.596954044260033
19,NaN,NaN,0.5,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.550458963033379,-0.569085542005223,-0.586677311034187,-0.34660140428597,-0.449047588631114,-0.461465307945677,0.0942276313810152,-0.525623524404253,-0.602199460177391,-0.613582369549074,-0.418003290344707,-0.540110863604576,-0.206902061997137,-0.453186828402635,-0.396272281544222,-0.301069766799239,-0.398341901429982,-0.143778655481442,-0.548389343147618,-0.603234270120271,-0.535971623833055,-0.589781740862828,-0.603234270120271,-0.571155161890984,-0.247259649769466,0.00316435640755347,-0.359019123600533,-0.385924182115419,-0.284512807713155,-0.600129840291631,-0.393167851715581,-0.397307091487102,1.13524643391854,-0.302104576742119,-0.534936813890175,1.1010977058035,-0.439734299145192,-0.545284913318977,-0.466639357660079,-0.561841872405061,-0.478022267031761,-0.277269138112993,-0.524588714461372,-0.0258103219930934,-0.493544416174965,-0.609443129777553
