Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.460929661521521,-0.736872184625148,-0.897258945252607,-0.591557914755451,-0.724891486843338,-0.717162004403461,-0.852814421223311,-0.827307129171715,-0.884118825104815,-0.71407021142751,-0.133199606070715,-0.675036325106128,-0.597741500707353,-0.622089370392967,-0.708659573719596,-0.65725851549441,-0.678514592204073,-0.116194744702985,-0.290108099600229,-0.721413219745393
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.494300861794558,-0.756397529397187,-0.896872471130613,-0.730520566446293,-0.817393227781438,-0.8266350002639,-0.876540571669196,-0.881715964259375,-0.874322546273405,-0.709818996085577,-0.417778985639771,-0.714255046877159,-0.703164919898204,-0.634775803527984,-0.737174642633665,-0.729781224647696,-0.696141172811533,-0.0362786175637294,-0.466575544347171,-0.767487656376142
3,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.347048620240659,-0.773941494159728,-0.905374901814478,-0.705213512798483,-0.71088179992106,-0.726469589508147,-0.83522984867259,-0.826018882098402,-0.866051159901601,-0.768627474982312,-0.104020809860178,-0.612041043221127,-0.699545225675907,-0.666244038830768,-0.754102489230709,-0.626920296917891,-0.666244038830768,-0.27654929915361,-0.478127759950249,-0.772524422379083
4,NaN,NaN,0.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.338661868885827,-0.777317884575854,-0.901904521943513,-0.723526996575891,-0.759618947233931,-0.790505328085523,-0.849501785891935,-0.865118495311279,-0.863730343362893,-0.691252463775912,-0.215116345479458,-0.642667145582397,-0.68847615987914,-0.667306842666251,-0.739490743982331,-0.672859450459796,-0.668000918640444,-0.268213157505229,-0.532309065685696,-0.790505328085523
5,NaN,NaN,0.25,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.356884765541602,-0.765334867021403,-0.902040615271786,-0.713653425609673,-0.775004297995211,-0.811681449964826,-0.841356600194787,-0.859361747525325,-0.867364035227786,-0.754331721430519,-0.238184164621757,-0.625294832228328,-0.680310560182751,-0.639298835707636,-0.756332293356134,-0.684311704033981,-0.689979991156558,-0.328209901274448,-0.514263090356676,-0.772003440106788
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.339408754988491,-0.789667910334051,-0.904635560015881,-0.706861628891189,-0.783013834146678,-0.818871911378632,-0.852142292315496,-0.868038140985331,-0.852142292315496,-0.737913984432262,-0.312792450238999,-0.65288967759361,-0.72127879396383,-0.6798756532424,-0.764530289181754,-0.690965780221354,-0.719060768568039,-0.371939794126758,-0.514632761255975,-0.778577783355096
7,NaN,NaN,0.25,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.330610587585187,-0.793823011242166,-0.903334318450351,-0.710839287767641,-0.792122525105393,-0.802665539153386,-0.841436623071811,-0.864563234531925,-0.867624109578116,-0.784300288876237,-0.351016421226463,-0.6856720929434,-0.727163954680662,-0.713560065586478,-0.795523497378939,-0.72478327408918,-0.724443176861825,-0.395229060782563,-0.543511451909173,-0.793823011242166
8,NaN,NaN,0.25,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.378932735305154,-0.793071963198425,-0.905374901814478,-0.734617752246851,-0.810431092511316,-0.824601810317758,-0.859320068943541,-0.877742002091916,-0.872073714969339,-0.781735388953271,-0.368304696950323,-0.668369646501734,-0.71761289087912,-0.688562919375914,-0.787403676075848,-0.730366536904918,-0.728949465124274,-0.367950429005162,-0.542958793914721,-0.804054269498417
9,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.387992949562252,-0.801174900242002,-0.902118651765338,-0.75341656618795,-0.814923511560592,-0.822159622780903,-0.865938095663784,-0.878601290299328,-0.873174206884095,-0.770783233116696,-0.438283922543412,-0.715788787842334,-0.740753371552406,-0.717236010086396,-0.804792955852157,-0.757396427359121,-0.764632538579432,-0.280536697940636,-0.632573508808759,-0.812029067072468
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.435485467285761,-0.771418238795213,-0.903986749866092,-0.727344414433952,-0.755107453401676,-0.7627422891178,-0.868588875182245,-0.86199515342741,-0.865812571285473,-0.758230795285545,-0.256760903931043,-0.669736108575927,-0.734979250150076,-0.677370944292051,-0.783217530356496,-0.708951401117836,-0.707910287156546,-0.22691563704074,-0.565971750434061,-0.780441226459723
