Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.993375251551654,-0.905597017013754,-0.896453450916057,-0.911083156672373,-0.92388414920915,-0.704438562864401,-1.10492675794357,-1.10858418438265,-1.08115348608955,-0.949486134282704,-1.05372278779646,-1.04823664813784,-1.06835249355278,-1.11407032404127,-0.958629700380402,-1.1250426033585,-1.2128208378964,0.00510216631695507,-0.856221760086186,-0.911083156672373,-0.739184114035653
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-1.04373520021282,-0.931058331839652,-0.94245262189986,-0.92346213846618,-0.910801816177059,-0.758877948707617,-1.05892758695976,-1.08171616708018,-1.0728539414778,-0.981699620996132,-0.977901524309396,-1.10577077942951,-1.12222919840537,-1.17413651979076,-0.880417042683171,-1.11843110171863,-1.20958542220029,-0.203089800215243,-0.898141493887939,-0.912067848405971,-0.767740174310002
3,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-1.04547858885591,-0.975327950598165,-1.02713149885004,-0.995833521781199,-0.971010988243842,-0.963456304123777,-1.19009682772573,-1.09728213710779,-1.06706340062753,-0.915969718226225,-1.02821073943862,-1.02173529590714,-0.965614785300939,-1.01310137119849,-0.976407191186746,-1.11023302417076,-1.23434569185754,-0.587880579297682,-0.939713011175001,-0.89438490645461,-0.826392749374024
4,NaN,NaN,0.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-1.01745905961276,-0.949141094052602,-0.998826887187263,-0.924298197485272,-0.94293036991077,-0.94293036991077,-1.18018003212877,-1.00876404581419,-1.01124833547093,-0.909392459544874,-0.969015411306467,-0.961562542336267,-1.02242763892623,-1.01621691478439,-0.952867528537702,-1.10068276311332,-1.23235011492017,-0.529296142064724,-0.985163294075231,-0.906908169888141,-0.88951814229101
5,NaN,NaN,0.25,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-1.03867107129717,-0.951314847502244,-1.05766155473085,-0.998158039971988,-0.975369459851572,-0.944984686357684,-1.18806287430879,-1.07791807039345,-1.02474471677914,-0.855096398104931,-1.02980884569479,-0.98676374991178,-0.990561846598516,-1.04246916798391,-0.934856428526388,-1.10070665051386,-1.20578732551356,-0.568973114370815,-0.908269751719235,-0.910801816177059,-0.815849399008658
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-1.03360694238152,-0.938806449080593,-1.01912353368277,-0.95855655185162,-0.963823245923895,-0.930906407972182,-1.17185766177872,-1.04150698348994,-1.00990681905629,-0.890089528912059,-0.987523369249128,-0.983573348694922,-1.04940702459835,-1.13235745623666,-0.905889611128881,-1.1349908032728,-1.235057990646,-0.61753811067188,-0.940123122598662,-0.916422999273429,-0.841372608743524
7,NaN,NaN,0.25,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-1.13235745623666,-1.02890453695985,-1.09944061828495,-0.992852762060357,-1.02420213153818,-0.995987699008139,-1.22013569077456,-1.1088454291283,-1.07436112270269,-0.92388414920915,-1.08063099659826,-1.05868643796378,-1.08533340201993,-1.11668277149775,-0.821998698406231,-1.09630568133717,-1.21856822230067,-0.767137301820044,-0.933288960052497,-0.917614275313586,-0.845510725514597
8,NaN,NaN,0.25,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-1.09298633633363,-1.02844351682047,-1.10331318745574,-1.06846006491863,-1.05296978823547,-0.979390973990469,-1.13429374082206,-1.11622175135837,-1.02844351682047,-0.970354979258626,-1.03747951155231,-1.09040462355311,-1.05813321379653,-1.14591144833443,-0.93162928755073,-1.10202233106548,-1.21949026257943,-0.771563095158089,-0.965191553697574,-0.918720723648097,-0.740582541791771
9,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-1.07906352812437,-1.02733706848596,-1.08063099659826,-1.01322985222094,-1.00695997832538,-1.0022575729037,-1.1605718887667,-1.12452011386721,-1.07436112270269,-0.986582888164793,-1.04457922169876,-1.06652378033324,-1.14019479860612,-1.15273454639725,-0.890967311257438,-1.05084909559433,-1.22170315924845,-0.635469950013194,-0.927019086156932,-0.914479338365804,-0.801621608245647
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-1.04805823709203,-0.998281555311395,-1.05448103474115,-0.970984665302657,-0.990253058250001,-0.917996584697462,-1.12513180888141,-1.00952145119734,-0.962956168241264,-0.768666539355547,-1.04805823709203,-0.953321971767592,-0.980618861776329,-1.09141212122356,-0.8248660187853,-1.07374942768849,-1.18935978537255,-0.62254789283819,-0.977407462951772,-0.858585706443152,-0.754215244645039
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-1.08298219930909,-0.958172522075517,-0.922512614294495,-0.907425730233294,-0.8799950319402,-0.94445717292897,-1.12001364200477,-1.0102908488324,-1.02263466306429,-0.744213075389387,-1.05966610575996,-0.956800987160862,-1.01440545357636,-1.09395447862633,-0.888224241428129,-1.04595075661342,-1.22425029551853,-0.720896981840257,-0.963658661734136,-0.862165078049689,-0.790845262487646
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.689808857108084,-0.514252388032285,-0.495965255836889,-0.525224667349522,-0.550826652423076,-0.111935479733578,-0.912911869891913,-0.920226722770071,-0.865365326183884,-0.602030622570185,-0.810503929597696,-0.799531650280459,-0.83976334111033,-0.931199002087308,-0.62031775476558,-0.953143560721783,-1.12870002979758,1.30714597862913,-0.415501874177148,-0.525224667349522,-0.181426582076082
13,NaN,NaN,0.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.790528754430418,-0.565175017684079,-0.587963597804495,-0.549982630937135,-0.524661986358895,-0.220814251420011,-0.820913527924306,-0.866490688165139,-0.848766236960371,-0.66645759599704,-0.658861402623568,-0.914599912863795,-0.947516750815508,-1.05133139358629,-0.463892439371118,-0.939920557442036,-1.12222919840537,0.890762045564738,-0.499341341780655,-0.527194050816719,-0.238538702624779
14,NaN,NaN,0.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.794015531716602,-0.653714255201106,-0.757321351704857,-0.694725397567174,-0.645080330492461,-0.62997096225233,-1.08325200945624,-0.897622628220352,-0.837185155259831,-0.534997790457226,-0.759479832882018,-0.746528945819049,-0.634287924606653,-0.729261096401758,-0.655872736378268,-0.92352440234629,-1.17174973771986,0.121180487399861,-0.582484376354778,-0.491828166913996,-0.355843852752824
15,NaN,NaN,0.5,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.737976473230297,-0.601340542109981,-0.700712128379301,-0.551654748975321,-0.588919093826316,-0.588919093826316,-1.06341841826232,-0.720586445633166,-0.725555024946631,-0.521843273094525,-0.641089176617709,-0.626183438677311,-0.747913631857229,-0.735492183573563,-0.60879341108018,-0.904423880231408,-1.16775858384511,0.238349361865777,-0.673384942155238,-0.516874693781059,-0.482094638586796
16,NaN,NaN,0.5,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.780400496599122,-0.605688049009264,-0.818381463466482,-0.699374433948753,-0.65379727370792,-0.593027726720144,-1.07918410262236,-0.858894494791667,-0.752547787563057,-0.413251150214637,-0.762676045394354,-0.676585853828337,-0.684182047201809,-0.787996689972594,-0.572771211057551,-0.904471655032499,-1.11463300503189,0.158995417253593,-0.519597857443247,-0.524661986358895,-0.334757152022093
