Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24,Unit_25,Unit_26,Unit_27,Unit_28,Unit_29,Unit_30,Unit_31,Unit_32,Unit_33
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.714147189983224,-0.692360770532529,-0.719273406324564,-0.660321918399154,-0.5155063067563,-0.348904275662752,-0.633409282607119,-0.365564478772106,-0.352748937918756,-0.58471022736439,-0.498846103646945,-0.674419013337839,-0.627001512180444,-0.60008887638841,-0.560360699743025,-0.648787931631139,-0.730807393092579,-0.670574351081834,-0.612904417241759,-0.680826783764514,-0.634690836692454,-0.737215163519254,-0.406574209502826,-0.737215163519254,-0.710302527727219,-0.632127728521784,0.508455407426357,-0.0618361605477136,-0.416826642185506,-0.218185758958582,-0.278418800969327,-0.673137459252504,-0.629564620351114
2,NaN,NaN,0.25,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.672977264991837,-0.696525821309868,-0.691479702098861,-0.654474827884813,-0.526639807872648,-0.474496576025581,-0.609059754985754,-0.484588814447594,-0.282744046007333,-0.583829158930722,-0.573736920508709,-0.646064629199802,-0.624198112618774,-0.590557317878731,-0.538414086031663,-0.672977264991837,-0.740258854471924,-0.60569567551175,-0.625880152355776,-0.694843781572865,-0.672977264991837,-0.741940894208926,-0.408897026282496,-0.723438457101902,-0.699889900783872,-0.666249106043828,0.342974736157477,-0.0152997278239867,-0.469450456814574,-0.205370218105233,-0.299564443377354,-0.669613185517833,-0.593921397352735
3,NaN,NaN,0.25,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.697137472123323,-0.702030678630966,-0.689797662361859,-0.623739374508683,-0.631079184270147,-0.52832184760965,-0.684904455854216,-0.56502089641697,-0.330146984050121,-0.606613151731933,-0.58214711919372,-0.628632581016325,-0.65554521680836,-0.533215054117293,-0.611506358239576,-0.65554521680836,-0.731389917676822,-0.530768450863471,-0.623739374508683,-0.719156901407715,-0.694690868869502,-0.743622933945928,-0.45492374999501,-0.733836520930643,-0.711817091646251,-0.67267143958511,0.149387253698863,-0.0438944033530237,-0.498962608563794,-0.239622663658731,-0.344826603573049,-0.667778233077467,-0.550341276894042
4,NaN,NaN,0.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.68616081968726,-0.710527665607075,-0.703981348792796,-0.621788704346852,-0.596694489892117,-0.533777111621549,-0.663612395104744,-0.588329751740539,-0.339933397065407,-0.557780273273904,-0.588329751740539,-0.611605544857974,-0.622152388614312,-0.578146592251661,-0.591239225880218,-0.695616610641218,-0.73634924859673,-0.600331332566716,-0.63088081103335,-0.697798716245977,-0.677432397268221,-0.741804512608629,-0.438491833547047,-0.730530300317371,-0.709436612804695,-0.670158711919023,0.0753940363738332,-0.0751712503545777,-0.473041838955741,-0.287199178283717,-0.349389188019365,-0.674522923128542,-0.592693962950058
5,NaN,NaN,0.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.697871453099469,-0.703253980257876,-0.71401903457469,-0.635972390777789,-0.618479177512967,-0.535050006557659,-0.718055929943496,-0.59022090993133,-0.252467330741293,-0.6440461815154,-0.606368491406551,-0.587529646352127,-0.623861704671374,-0.606368491406551,-0.607714123196153,-0.697871453099469,-0.728820984260309,-0.586184014562525,-0.673650080886638,-0.711327770995487,-0.666921921938629,-0.742277302156327,-0.356080978540627,-0.73689477499792,-0.703253980257876,-0.665576290149028,0.114890147819982,-0.00756234503377671,-0.470459680656775,-0.261886753268506,-0.36550040106784,-0.679032608045045,-0.603677227827348
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.710943304769886,-0.707922498711597,-0.713964110828176,-0.591209537368589,-0.643112477824656,-0.537384265784519,-0.708197117444168,-0.628832303730923,-0.294072068725919,-0.615375985834906,-0.587914112577727,-0.557431433262259,-0.625811497672633,-0.60686280512518,-0.644760190220086,-0.720280341677327,-0.735384371968775,-0.598624243148027,-0.675792107000698,-0.710394067304743,-0.703253980257876,-0.743073696480785,-0.436049953465531,-0.733462040840773,-0.705450930118451,-0.656568795720673,-0.0477390656090287,-0.0886572567622244,-0.486854418991311,-0.357783614682572,-0.377830782160313,-0.68540376264071,-0.631853109789213
7,NaN,NaN,0.25,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.65460421555689,-0.70842948714096,-0.696008270621559,-0.573866308180786,-0.667025432076291,-0.466215765012647,-0.677376445842458,-0.621480971505155,-0.27575711171517,-0.561445091661385,-0.584217321946953,-0.58835772745342,-0.640112796284256,-0.580076916440486,-0.615270363245455,-0.675306243089225,-0.735342122932995,-0.621480971505155,-0.667025432076291,-0.696008270621559,-0.683587054102159,-0.743622933945928,-0.40825008792211,-0.729131514673294,-0.716710298153894,-0.650463810050424,-0.0397539978465568,-0.118421702469428,-0.445513737480312,-0.300599544753971,-0.33579299155894,-0.675306243089225,-0.644253201790723
8,NaN,NaN,0.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.66512774621916,-0.700690872087206,-0.694603490181865,-0.578622845459049,-0.653273370929812,-0.544661662197671,-0.709661750684551,-0.620914130275103,-0.240933343973279,-0.481545123494923,-0.595283048568403,-0.575739348767045,-0.614185971327095,-0.59752576821774,-0.590477220748397,-0.683389891935184,-0.734652055348584,-0.5923995518764,-0.658079198749818,-0.677622898551177,-0.681787949328515,-0.740739437253925,-0.452069379532218,-0.73176855865658,-0.711584081812554,-0.627962677744446,-0.04101090666102,-0.0249914805943326,-0.500448046253614,-0.270409087935983,-0.321991639870717,-0.663205415091158,-0.598807322303075
9,NaN,NaN,0.25,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.680299085023494,-0.71037791326165,-0.71037791326165,-0.539403521171076,-0.658135737900642,-0.563149964516989,-0.723042683046137,-0.65496954545452,-0.319353146165615,-0.49191063447925,-0.580564022970659,-0.591645696532085,-0.623307620993302,-0.591645696532085,-0.620141428547181,-0.680299085023494,-0.730958164161442,-0.602727370093511,-0.67396670013125,-0.696130047254102,-0.686631469915737,-0.743622933945928,-0.403257245987841,-0.740456741499807,-0.704045528369407,-0.651803353008398,-0.00273390155344104,-0.0359789222377194,-0.504575404263737,-0.303522183935007,-0.392175572426415,-0.662885026569824,-0.634389294554728
10,NaN,NaN,0.25,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,-0.703752362402173,-0.716710298153894,-0.693784719516234,-0.524334790455275,-0.662885026569824,-0.588127704925283,-0.736645583925771,-0.663881790858418,-0.306043411253215,-0.51536391185793,-0.541279783361371,-0.539286254784183,-0.634975626489195,-0.586134176348095,-0.638962683643571,-0.703752362402173,-0.731661762482802,-0.540283019072777,-0.703752362402173,-0.694781483804828,-0.691791190939047,-0.732658526771396,-0.44359688307917,-0.735648819637177,-0.710729712422331,-0.625007983603257,-0.0468846962188054,-0.138587010769442,-0.51038009041496,-0.344917218508376,-0.419674540152917,-0.694781483804828,-0.659894733704043
