Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,0.31575056630317,-0.392143033725667,-0.404233937020181,-0.425824835760386,-0.402794543770834,-0.30549156011498,-0.419779384113128,-0.241582499843974,-0.434461195256467,-0.350688508144474,-0.420930898712606,-0.373143042834287,-0.396173334823838,-0.433885437956729,-0.398188485372924,-0.418339990863782,-0.431006651458035,-0.161264356530414,-0.364794561988074,-0.349249114895127,-0.402794543770834,-0.400779393221749
2,NaN,NaN,0.25,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,0.349984784125476,-0.401635248667306,-0.391318300296311,-0.425606981646971,-0.399207731403543,-0.324258135884844,-0.424089783357119,-0.295734808035622,-0.430462016174498,-0.360670894841297,-0.421662266093355,-0.402849007299188,-0.394352696876016,-0.432586093780291,-0.412559076354242,-0.415290033275976,-0.428641378226675,-0.144318418708372,-0.366739688000705,-0.348229868864509,-0.400421490035424,-0.405883403878892
3,NaN,NaN,0.25,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,0.526189859357696,-0.39530969887423,-0.390127883176581,-0.425536957110516,-0.400491514571879,-0.273105212004673,-0.420355141412867,-0.260582490735354,-0.434605134581402,-0.323196097081947,-0.428127864959341,-0.383218795579716,-0.397900606723055,-0.43330968065699,-0.408264238118353,-0.418627869513651,-0.425536957110516,-0.166014354253259,-0.368536984436377,-0.353423355318233,-0.394446062924622,-0.400059696597075
4,NaN,NaN,0.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,0.522217133989498,-0.396422829653725,-0.391432933055989,-0.426528539126733,-0.401163231421574,-0.305024556971858,-0.423700931054683,-0.237993612675603,-0.436175672549023,-0.340619152702376,-0.426944363843211,-0.37363563519073,-0.398668283122706,-0.436591497265501,-0.405071983756468,-0.4233682712815,-0.429938301801853,-0.134619588159169,-0.359663924717069,-0.360661904036616,-0.401412726251461,-0.4101450452975
5,NaN,NaN,0.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,0.606261249542797,-0.402989889997531,-0.380134381473972,-0.429454163024811,-0.401786968496291,-0.309162012900814,-0.421434686349877,-0.257837362181243,-0.436270718198504,-0.34204186726804,-0.430657084526051,-0.346051605605507,-0.410608392838718,-0.435869744364757,-0.402989889997531,-0.421835660183624,-0.429855136858557,-0.149574427069646,-0.354472056114186,-0.356877899116666,-0.396574308657585,-0.402187942330038
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,0.590398996526446,-0.409969553171393,-0.386468408813835,-0.426144429854732,-0.399884041827663,-0.287040490378012,-0.421672552183456,-0.261541273018394,-0.434707599863559,-0.333662193759402,-0.429664844191694,-0.376478043803537,-0.396078188490407,-0.435563916864442,-0.400550066161683,-0.416820089178454,-0.428618234523949,-0.139944258893053,-0.353357484779704,-0.371530434465103,-0.402833578164037,-0.404165626832077
7,NaN,NaN,0.25,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,0.513235320113573,-0.406424318051796,-0.394220766589942,-0.429855136858557,-0.396661476882312,-0.331738583105246,-0.421556721864496,-0.256076564041747,-0.43131956303398,-0.341013282216255,-0.429855136858557,-0.344430276625574,-0.403983607759425,-0.430343278917031,-0.405936175993322,-0.418627869513651,-0.432783989209402,-0.125254492370664,-0.3439421345671,-0.361027106613697,-0.398614045116209,-0.405936175993322
8,NaN,NaN,0.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,0.512223025516901,-0.410897619866338,-0.381817156907401,-0.430039190421588,-0.399854406084463,-0.338472542813541,-0.422124887211245,-0.276446492072009,-0.433812288463729,-0.35595763130151,-0.430591351110682,-0.367276925427932,-0.400682647118104,-0.433628234900698,-0.399578325739916,-0.419364083765776,-0.425437851345807,-0.127087025672149,-0.345006444301151,-0.355497497393932,-0.398934138269307,-0.40666438791662
9,NaN,NaN,0.25,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,0.610772205172446,-0.404944637437046,-0.384595215374404,-0.428802580544972,-0.403541229018933,-0.327406322336287,-0.425644911604217,-0.294426224510625,-0.434416214217425,-0.346001483876288,-0.424943207395161,-0.349510004921571,-0.394419074301197,-0.431258545276671,-0.394068222196668,-0.422136390558934,-0.423890651081576,-0.0982998980792927,-0.342843814935533,-0.355123638594025,-0.397225891137423,-0.410207419004971
10,NaN,NaN,0.25,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,0.713167042447866,-0.403514240395508,-0.384946067478932,-0.427264229009733,-0.406968784193941,-0.323196097081947,-0.422082413312084,-0.2864915692236,-0.435036952556206,-0.359036988990687,-0.425536957110516,-0.340900634048915,-0.391855155075797,-0.435036952556206,-0.406968784193941,-0.425105139135712,-0.421650595337279,-0.0615144043506694,-0.337446090250482,-0.370696074310397,-0.399196060647467,-0.406105148244332
