Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.6534751843899,-0.610997598542961,0.447950668345524,-0.593647598689986,-0.585271736691998,-0.712704494232816,-0.739028631940778,-0.728857942371793,-0.664842425672884,-0.665440701529883,-0.680995873811861,-0.697149321950838,-0.544588978416056,-0.624757943253942,-0.212545877781531,-0.538007943989066,-0.63313380525193,-0.603818288258971,-0.618176908826951,-0.524247599278085,-0.532025185419074,-0.537409668132066,-0.490145875429134,-0.361516566174318
2,NaN,NaN,0.25,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.692534051053987,-0.654016481593852,0.37632850146477,-0.551056055536952,-0.575499897694345,-0.687348993626662,-0.736236677941449,-0.741421735368775,-0.671053098855066,-0.686608271137043,-0.651794314124998,-0.696978385991695,-0.505871983670254,-0.638461309311874,-0.177731920769486,-0.545130275620008,-0.625869026988368,-0.65105359163538,-0.654016481593852,-0.554018945495424,-0.538463773213446,-0.5036498162014,-0.55920400292275,-0.43402190217731
3,NaN,NaN,0.25,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.694756218522841,-0.652699641612309,0.340526914466567,-0.57146707525087,-0.569738722775094,-0.665374226434661,-0.731051620514123,-0.720105388167546,-0.653275759104234,-0.678624928748939,-0.652699641612309,-0.703974098393643,-0.527106028372637,-0.634839999362631,-0.15032518865362,-0.538052260719214,-0.641177291773807,-0.627350471967604,-0.621589297048354,-0.553607433001191,-0.570314840267019,-0.541508965670764,-0.523073205929161,-0.480440511526703
4,NaN,NaN,0.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.694157942665842,-0.629843288038434,0.174837739625415,-0.605463546865719,-0.565229495482527,-0.685931649632104,-0.732447597513788,-0.734541563013285,-0.673218287670872,-0.677406218669866,-0.68189328759736,-0.680995873811861,-0.523948461349586,-0.634479925930178,-0.187717429716067,-0.545187254273055,-0.637770443143673,-0.621467426040446,-0.638069581072172,-0.564182512732778,-0.523350185492587,-0.479376910003149,-0.536362685382318,-0.521405788957339
5,NaN,NaN,0.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.69557491180084,-0.626804676448939,0.22709241250384,-0.594056945328985,-0.586688705826996,-0.668558033626879,-0.738146962256779,-0.738965655534778,-0.676744966406867,-0.661189794124889,-0.688206672298851,-0.686569285742853,-0.504000684749114,-0.616161663834954,-0.15032518865362,-0.508912844417107,-0.634172915950928,-0.626804676448939,-0.627623369726937,-0.551484894873046,-0.520374550309091,-0.517918470475094,-0.463066020849173,-0.486808125911139
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.703830069020662,-0.637720586822256,0.135501102027721,-0.608338594734076,-0.616548268994009,-0.628430692264964,-0.729323268038348,-0.737965030417224,-0.682441707132942,-0.666670490791493,-0.678552914062448,-0.692811821987594,-0.508094151139108,-0.630375088800211,-0.10171527527244,-0.515871737280097,-0.648522789795852,-0.624757943253942,-0.640745203654863,-0.562537254126031,-0.504637446187558,-0.552167139271379,-0.568802531850716,-0.504205358068614
7,NaN,NaN,0.25,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.710311390804819,-0.624109811075526,0.0998538322148556,-0.615035960577705,-0.607258374436717,-0.609850903150379,-0.714200183875314,-0.73753294229828,-0.645498172963245,-0.699293143771752,-0.670775327921459,-0.680497310597695,-0.484113260537726,-0.616332224934537,-0.0803269133847201,-0.51846426599376,-0.65392389128265,-0.638368719000672,-0.635776190287009,-0.545037685308805,-0.559296593233952,-0.485409524894557,-0.565777915018109,-0.545037685308805
8,NaN,NaN,0.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.706422597734325,-0.627350471967604,0.00879126114744407,-0.595754028269837,-0.623299645852506,-0.594943863046818,-0.721491670882491,-0.735750578807637,-0.658298783486956,-0.680335277553091,-0.67288175750131,-0.655220155639481,-0.523649323421086,-0.635452124197801,-0.135580181594662,-0.514413439878662,-0.654572023461065,-0.645498172963245,-0.621679315406467,-0.515061572057077,-0.505825688514653,-0.475363476129114,-0.565129782839693,-0.501288763265743
9,NaN,NaN,0.25,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.705990509615381,-0.651547406628459,0.0259667638754612,-0.593647598689986,-0.5996968323552,-0.626486295729717,-0.697348747236504,-0.741421735368775,-0.634263881870706,-0.688706984857628,-0.649819054152683,-0.679201046240864,-0.505501622425445,-0.64376982048747,-0.0855119708120461,-0.528834380848412,-0.642041468011694,-0.626486295729717,-0.642041468011694,-0.527106028372637,-0.579820778883783,-0.454515224390074,-0.565129782839693,-0.55908054917448
10,NaN,NaN,0.25,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,-0.704821329999415,-0.651750742213844,-0.00300855704194836,-0.584955002414763,-0.595935124025571,-0.549269607179638,-0.695671228657075,-0.738676704966073,-0.621555407784123,-0.681031066509332,-0.660900843556184,-0.670965955032758,-0.490708958588663,-0.634365549663398,-0.0542491245590515,-0.53371443489766,-0.668220924630056,-0.659070823287716,-0.630705509126462,-0.498944049796769,-0.592275083488635,-0.40744303637337,-0.601425184830975,-0.597765144294039
